StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CQ1,CQ2_1,CQ2_2,CQ2_3,CQ2_4,CQ3,CQ4,CQ5,Timer1_First Click,Timer1_Last Click,Timer1_Page Submit,Timer1_Click Count,TQ1,TQ2,TQ3,TQ4,TQ5,TQ6,TQ7,TQ8,TQ9,TQ10,TQ11,TQ12,TQ13,TQ14,TQ15,TQ16,SQ1,TQ17,TQ18,TQ19,TQ20,TQ21,TQ22,TQ23,TQ24,TQ25,TQ26,TQ27,TQ28,TQ29,TQ30,TQ31,TQ32,TQ33,SQ2,TQ34,TQ35,TQ36,TQ37,TQ38,TQ39,TQ40,TQ41,TQ42,TQ43,TQ44,TQ45,TQ46,TQ47,TQ48,worker_id,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What portion of your friends own pets?,Please rank your preferences to work with the following media: - Audio,Please rank your preferences to work with the following media: - Text,Please rank your preferences to work with the following media: - Images,Please rank your preferences to work with the following media: - Other,"Have your ever lived with any dogs in your household? If not, have you ever planned to own a dog?","On average, how many tasks on Amazon Mechanical Turk do you complete every week?",Do you use Linkedin? (no need to provide any links),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please provide us your Amazon Mechanical Turk (AMT) Worker ID for payment:,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID155_2""}","{""ImportId"":""QID155_3""}","{""ImportId"":""QID155_4""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID160""}","{""ImportId"":""QID159""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208_TEXT""}","{""ImportId"":""mTurkCode""}"
10/29/2017 6:23,10/29/2017 6:26,IP Address,108.171.159.47,100,180,TRUE,10/29/2017 6:26,R_2bNxiFRfnSwWMZ9,,,,,12.83580017,80.20251465,anonymous,EN,a lot less than half,3,1,2,4,No,41+,Yes,3.821,129.261,131.792,54,Boston Bull,Cocker Spaniel,Shih Tzu,Yorkshire Terrier,Golden retriever,Golden retriever,Bloodhound,Saluki,Golden retriever,Bloodhound,Yorkshire Terrier,Bloodhound,Golden retriever,Saluki,Golden retriever,Saluki,Not A Dog,Golden retriever,Boston Bull,Yorkshire Terrier,Yorkshire Terrier,Saluki,Irish Wolfhound,Saluki,Golden retriever,Irish Wolfhound,Golden retriever,Bloodhound,Saluki,Golden retriever,Golden retriever,Shih Tzu,Saluki,Bloodhound,Not A Dog,Cocker Spaniel,Yorkshire Terrier,Golden retriever,Yorkshire Terrier,Saluki,Boston Bull,Boston Bull,Boston Bull,Cocker Spaniel,Saluki,Boston Bull,Golden retriever,Irish Wolfhound,Cocker Spaniel,Cocker Spaniel,A243X2Y9HP7630,718387046
10/29/2017 6:23,10/29/2017 6:28,IP Address,184.15.114.102,100,245,TRUE,10/29/2017 6:28,R_AuESwLRTo6o2dNf,,,,,38.34959412,-81.62560272,anonymous,EN,around half,2,3,1,4,Yes,31 - 40,No,0.913,199.695,201.574,66,Boston Bull,Shih Tzu,Yorkshire Terrier,Cocker Spaniel,Irish Wolfhound,Golden retriever,Saluki,Shih Tzu,Saluki,Shih Tzu,Yorkshire Terrier,Bloodhound,Yorkshire Terrier,Irish Wolfhound,Saluki,Yorkshire Terrier,Not A Dog,Shih Tzu,Golden retriever,Golden retriever,Yorkshire Terrier,Yorkshire Terrier,Bloodhound,Golden retriever,Saluki,Boston Bull,Cocker Spaniel,Cocker Spaniel,Saluki,Golden retriever,Yorkshire Terrier,Saluki,Cocker Spaniel,Boston Bull,Not A Dog,Yorkshire Terrier,Boston Bull,Golden retriever,Bloodhound,Golden retriever,Bloodhound,Saluki,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Irish Wolfhound,Shih Tzu,Irish Wolfhound,Bloodhound,A25T92H4YKP4RN,176723433
10/29/2017 6:24,10/29/2017 6:28,IP Address,71.199.24.186,100,252,TRUE,10/29/2017 6:28,R_3M6cOsGFH6Phc9k,,,,,41.07130432,-111.9873962,anonymous,EN,around half,3,1,2,4,Yes,41+,Yes,4.183,214.822,216.688,65,Boston Bull,Yorkshire Terrier,Shih Tzu,Cocker Spaniel,Irish Wolfhound,Golden retriever,Saluki,Yorkshire Terrier,Cocker Spaniel,Shih Tzu,Shih Tzu,Bloodhound,Shih Tzu,Irish Wolfhound,Cocker Spaniel,Shih Tzu,Not A Dog,Saluki,Golden retriever,Golden retriever,Irish Wolfhound,Shih Tzu,Bloodhound,Cocker Spaniel,Cocker Spaniel,Boston Bull,Cocker Spaniel,Saluki,Irish Wolfhound,Golden retriever,Shih Tzu,Cocker Spaniel,Saluki,Shih Tzu,Not A Dog,Yorkshire Terrier,Boston Bull,Golden retriever,Cocker Spaniel,Golden retriever,Bloodhound,Cocker Spaniel,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Irish Wolfhound,Shih Tzu,Irish Wolfhound,Bloodhound,A1PAMVTKGCXSWQ,769296878
10/29/2017 6:24,10/29/2017 6:28,IP Address,74.90.44.121,100,261,TRUE,10/29/2017 6:28,R_1EXLtqNk32bFvk3,,,,,41.58610535,-73.88300323,anonymous,EN,a lot more than half,3,2,1,4,Yes,20-Nov,No,4.997,217.563,219.272,173,Boston Bull,Saluki,Shih Tzu,Yorkshire Terrier,Cocker Spaniel,Golden retriever,Cocker Spaniel,Shih Tzu,Bloodhound,Shih Tzu,Shih Tzu,Irish Wolfhound,Shih Tzu,Cocker Spaniel,Bloodhound,Shih Tzu,Not A Dog,Cocker Spaniel,Irish Wolfhound,Golden retriever,Cocker Spaniel,Shih Tzu,Bloodhound,Cocker Spaniel,Irish Wolfhound,Boston Bull,Irish Wolfhound,Cocker Spaniel,Yorkshire Terrier,Golden retriever,Shih Tzu,Golden retriever,Cocker Spaniel,Boston Bull,Not A Dog,Shih Tzu,Boston Bull,Golden retriever,Bloodhound,Cocker Spaniel,Bloodhound,Irish Wolfhound,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Cocker Spaniel,Shih Tzu,Cocker Spaniel,Bloodhound,A1THDEF2SOOYC1,21254003
10/29/2017 6:25,10/29/2017 6:28,IP Address,73.129.122.171,100,163,TRUE,10/29/2017 6:28,R_2fcCUKNR2c3dFK5,,,,,39.55119324,-76.99469757,anonymous,EN,around half,2,1,3,4,Yes,41+,Yes,3.102,119.469,121.018,55,Boston Bull,Saluki,Shih Tzu,Cocker Spaniel,Irish Wolfhound,Golden retriever,Cocker Spaniel,Yorkshire Terrier,Bloodhound,Shih Tzu,Yorkshire Terrier,Bloodhound,Shih Tzu,Yorkshire Terrier,Saluki,Boston Bull,Saluki,Shih Tzu,Cocker Spaniel,Saluki,Boston Bull,Yorkshire Terrier,Bloodhound,Yorkshire Terrier,Bloodhound,Saluki,Boston Bull,Saluki,Yorkshire Terrier,Cocker Spaniel,Saluki,Yorkshire Terrier,Shih Tzu,Saluki,Golden retriever,Bloodhound,Cocker Spaniel,Boston Bull,Saluki,Shih Tzu,Bloodhound,Shih Tzu,Boston Bull,Golden retriever,Shih Tzu,Cocker Spaniel,Bloodhound,Yorkshire Terrier,Bloodhound,Irish Wolfhound,A3UVW94KB9UBAJ,317243633
10/29/2017 6:24,10/29/2017 6:29,IP Address,112.79.177.110,100,320,TRUE,10/29/2017 6:29,R_3GvLJ8cOb3H7NpF,,,,,18.9750061,72.82580566,anonymous,EN,around half,3,1,2,4,Yes,41+,Yes,0.863,184.858,186.593,63,Boston Bull,Yorkshire Terrier,Golden retriever,Golden retriever,Irish Wolfhound,Cocker Spaniel,Golden retriever,Cocker Spaniel,Saluki,Boston Bull,Cocker Spaniel,Golden retriever,Bloodhound,Boston Bull,Bloodhound,Yorkshire Terrier,Not A Dog,Golden retriever,Shih Tzu,Cocker Spaniel,Saluki,Yorkshire Terrier,Boston Bull,Golden retriever,Saluki,Bloodhound,Irish Wolfhound,Yorkshire Terrier,Saluki,Golden retriever,Yorkshire Terrier,Bloodhound,Saluki,Saluki,Cocker Spaniel,Cocker Spaniel,Irish Wolfhound,Boston Bull,Cocker Spaniel,Cocker Spaniel,Boston Bull,Golden retriever,Boston Bull,Bloodhound,Saluki,Boston Bull,Boston Bull,Bloodhound,Boston Bull,Yorkshire Terrier, A3CBOZUTFR0NR7,415045084
10/29/2017 6:25,10/29/2017 6:30,IP Address,110.54.160.74,100,271,TRUE,10/29/2017 6:30,R_BPmipCPPZMgi7kJ,,,,,14.64880371,121.0509033,anonymous,EN,a lot more than half,3,1,2,4,Yes,41+,Yes,5.148,181.486,185.003,210,Boston Bull,Shih Tzu,Shih Tzu,Boston Bull,Yorkshire Terrier,Bloodhound,Saluki,Irish Wolfhound,Golden retriever,Shih Tzu,Shih Tzu,Boston Bull,Shih Tzu,Bloodhound,Bloodhound,Shih Tzu,Not A Dog,Shih Tzu,Bloodhound,Yorkshire Terrier,Saluki,Shih Tzu,Saluki,Saluki,Cocker Spaniel,Boston Bull,Bloodhound,Golden retriever,Yorkshire Terrier,Cocker Spaniel,Yorkshire Terrier,Golden retriever,Bloodhound,Bloodhound,Cocker Spaniel,Boston Bull,Yorkshire Terrier,Saluki,Bloodhound,Saluki,Irish Wolfhound,Bloodhound,Boston Bull,Bloodhound,Saluki,Bloodhound,Golden retriever,Yorkshire Terrier,Yorkshire Terrier,Bloodhound,A247PDSKLZU86P,771694746
10/29/2017 6:25,10/29/2017 6:30,IP Address,67.190.241.83,100,275,TRUE,10/29/2017 6:30,R_sMB0bXX9dujK71T,,,,,30.30430603,-81.73059845,anonymous,EN,around half,3,2,1,4,Maybe,41+,No,20.14,225.525,232.101,53,Boston Bull,Yorkshire Terrier,Cocker Spaniel,Cocker Spaniel,Irish Wolfhound,Golden retriever,Golden retriever,Yorkshire Terrier,Saluki,Shih Tzu,Yorkshire Terrier,Bloodhound,Shih Tzu,Irish Wolfhound,Saluki,Yorkshire Terrier,Not A Dog,Cocker Spaniel,Golden retriever,Golden retriever,Irish Wolfhound,Shih Tzu,Bloodhound,Golden retriever,Saluki,Boston Bull,Saluki,Shih Tzu,Irish Wolfhound,Golden retriever,Yorkshire Terrier,Saluki,Cocker Spaniel,Boston Bull,Not A Dog,Cocker Spaniel,Boston Bull,Golden retriever,Bloodhound,Cocker Spaniel,Bloodhound,Saluki,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Irish Wolfhound,Shih Tzu,Irish Wolfhound,Bloodhound,AV15YFBYL71S6,667378519
