StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,worker_id,Timer0_First Click,Timer0_Last Click,Timer0_Page Submit,Timer0_Click Count,CQ1,CQ2_1,CQ2_2,CQ2_3,CQ2_4,CQ3,CQ4,CQ5,Timer1_First Click,Timer1_Last Click,Timer1_Page Submit,Timer1_Click Count,Timer2_First Click,Timer2_Last Click,Timer2_Page Submit,Timer2_Click Count,TQ1,TQ2,TQ3,TQ4,TQ5,TQ6,TQ7,TQ8,TQ9,TQ10,TQ11,TQ12,TQ13,TQ14,TQ15,TQ16,SQ1,TQ17,TQ18,TQ19,TQ20,TQ21,TQ22,TQ23,TQ24,TQ25,TQ26,TQ27,TQ28,TQ29,TQ30,TQ31,TQ32,TQ33,SQ2,TQ34,TQ35,TQ36,TQ37,TQ38,TQ39,TQ40,TQ41,TQ42,TQ43,TQ44,TQ45,TQ46,TQ47,TQ48,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please provide us your Amazon Mechanical Turk (AMT) Worker ID for payment:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What portion of your friends own pets?,Please rank your preferences to work with the following media: - Audio,Please rank your preferences to work with the following media: - Text,Please rank your preferences to work with the following media: - Images,Please rank your preferences to work with the following media: - Other,"Have your ever lived with any dogs in your household? If not, have you ever planned to own a dog?","On average, how many tasks on Amazon Mechanical Turk do you complete every week?",Do you use Linkedin? (no need to provide any links),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,Please identify the breed.,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID208_TEXT""}","{""ImportId"":""QID212_FIRST_CLICK""}","{""ImportId"":""QID212_LAST_CLICK""}","{""ImportId"":""QID212_PAGE_SUBMIT""}","{""ImportId"":""QID212_CLICK_COUNT""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID155_2""}","{""ImportId"":""QID155_3""}","{""ImportId"":""QID155_4""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID213_FIRST_CLICK""}","{""ImportId"":""QID213_LAST_CLICK""}","{""ImportId"":""QID213_PAGE_SUBMIT""}","{""ImportId"":""QID213_CLICK_COUNT""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID160""}","{""ImportId"":""QID159""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""mTurkCode""}"
11/12/2017 2:42,11/12/2017 2:46,IP Address,163.53.73.150,100,212,TRUE,11/12/2017 2:46,R_21vtK5eF3z7twyi,,,,,21.23330688,81.63330078,anonymous,EN,A2RWG1BDW949U1,4.825,20.792,21.782,5,a lot less than half,3,1,2,4,Yes,41 or more,Yes,4.825,20.792,21.781,5,2.095,152.282,152.92,52,Boston Bull,Shih Tzu,Yorkshire Terrier,Saluki,Irish Wolfhound,Golden retriever,Golden retriever,Shih Tzu,Bloodhound,Shih Tzu,Shih Tzu,Bloodhound,Shih Tzu,Cocker Spaniel,Bloodhound,Shih Tzu,Not A Dog,Cocker Spaniel,Golden retriever,Golden retriever,Irish Wolfhound,Yorkshire Terrier,Bloodhound,Golden retriever,Irish Wolfhound,Boston Bull,Yorkshire Terrier,Cocker Spaniel,Yorkshire Terrier,Golden retriever,Yorkshire Terrier,Irish Wolfhound,Irish Wolfhound,Boston Bull,Irish Wolfhound,Yorkshire Terrier,Boston Bull,Golden retriever,Bloodhound,Golden retriever,Bloodhound,Irish Wolfhound,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Yorkshire Terrier,Shih Tzu,Yorkshire Terrier,Bloodhound,946462822
11/12/2017 2:41,11/12/2017 2:47,IP Address,194.126.168.59,100,323,TRUE,11/12/2017 2:47,R_2RUDllQZKGcDjgC,,,,,55.04110718,82.93438721,anonymous,EN,A2Z596CRYWL6XC,6.037,51.029,52.034,4,a lot less than half,3,1,2,4,Yes,41 or more,Yes,6.038,51.029,52.034,4,14.33,240.089,240.831,52,Boston Bull,Shih Tzu,Shih Tzu,Cocker Spaniel,Irish Wolfhound,Golden retriever,Cocker Spaniel,Yorkshire Terrier,Saluki,Shih Tzu,Yorkshire Terrier,Bloodhound,Shih Tzu,Irish Wolfhound,Saluki,Yorkshire Terrier,Not A Dog,Cocker Spaniel,Golden retriever,Golden retriever,Irish Wolfhound,Golden retriever,Bloodhound,Cocker Spaniel,Saluki,Boston Bull,Saluki,Cocker Spaniel,Irish Wolfhound,Golden retriever,Yorkshire Terrier,Saluki,Cocker Spaniel,Boston Bull,Not A Dog,Cocker Spaniel,Boston Bull,Golden retriever,Bloodhound,Golden retriever,Bloodhound,Saluki,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Irish Wolfhound,Shih Tzu,Irish Wolfhound,Bloodhound,951220206
11/12/2017 2:40,11/12/2017 2:48,IP Address,157.50.20.165,100,452,TRUE,11/12/2017 2:48,R_3F4Zqmoj8UM05Cs,,,,,13.08329773,80.28329468,anonymous,EN,A1EN9IMH5K6QQ6,2.551,24.069,25.231,4,around half,3,1,2,4,Yes,41 or more,Yes,2.55,24.068,25.231,4,34.703,397.361,398.261,69,Boston Bull,Shih Tzu,Yorkshire Terrier,Irish Wolfhound,Yorkshire Terrier,Cocker Spaniel,Cocker Spaniel,Yorkshire Terrier,Saluki,Cocker Spaniel,Cocker Spaniel,Bloodhound,Shih Tzu,Shih Tzu,Yorkshire Terrier,Shih Tzu,Yorkshire Terrier,Cocker Spaniel,Golden retriever,Golden retriever,Boston Bull,Yorkshire Terrier,Bloodhound,Golden retriever,Bloodhound,Saluki,Irish Wolfhound,Saluki,Cocker Spaniel,Yorkshire Terrier,Bloodhound,Bloodhound,Boston Bull,Yorkshire Terrier,Shih Tzu,Yorkshire Terrier,Saluki,Irish Wolfhound,Bloodhound,Golden retriever,Bloodhound,Bloodhound,Shih Tzu,Boston Bull,Yorkshire Terrier,Cocker Spaniel,Yorkshire Terrier,Cocker Spaniel,Saluki,Cocker Spaniel,254222217
11/12/2017 2:45,11/12/2017 2:48,IP Address,182.65.194.93,100,171,TRUE,11/12/2017 2:48,R_2AGyFW327HVofBn,,,,,13.08329773,80.28329468,anonymous,EN,AUQ6VQAPVMVJ7,3.582,26.415,27.948,8,around half,2,1,3,4,Yes,21 to 30,Yes,3.582,26.414,27.946,8,2.028,110.643,113.543,66,Yorkshire Terrier,Saluki,Yorkshire Terrier,Shih Tzu,Irish Wolfhound,Bloodhound,Golden retriever,Yorkshire Terrier,Irish Wolfhound,Boston Bull,Yorkshire Terrier,Yorkshire Terrier,Yorkshire Terrier,Yorkshire Terrier,Boston Bull,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Golden retriever,Bloodhound,Golden retriever,Golden retriever,Golden retriever,Golden retriever,Golden retriever,Golden retriever,Golden retriever,Golden retriever,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Cocker Spaniel,Yorkshire Terrier,Yorkshire Terrier,Yorkshire Terrier,Yorkshire Terrier,Boston Bull,Boston Bull,Boston Bull,Boston Bull,Boston Bull,Boston Bull,Boston Bull,Cocker Spaniel,Golden retriever,Cocker Spaniel,262595577
11/12/2017 2:43,11/12/2017 2:49,IP Address,95.86.29.189,100,347,TRUE,11/12/2017 2:49,R_3qe5MzUjKW4DXz8,,,,,41.43310547,22.01190186,anonymous,EN, AKU8W6XB2OWVZ,17.155,32.927,33.72,4,around half,1,3,2,4,Maybe,11 to 20,No,17.154,32.926,33.72,4,13.236,290.757,292.385,56,Boston Bull,Shih Tzu,Shih Tzu,Cocker Spaniel,Irish Wolfhound,Golden retriever,Golden retriever,Yorkshire Terrier,Saluki,Shih Tzu,Shih Tzu,Bloodhound,Shih Tzu,Saluki,Saluki,Shih Tzu,Not A Dog,Cocker Spaniel,Cocker Spaniel,Golden retriever,Irish Wolfhound,Shih Tzu,Bloodhound,Golden retriever,Irish Wolfhound,Boston Bull,Cocker Spaniel,Shih Tzu,Saluki,Golden retriever,Shih Tzu,Cocker Spaniel,Cocker Spaniel,Boston Bull,Not A Dog,Shih Tzu,Boston Bull,Golden retriever,Saluki,Cocker Spaniel,Bloodhound,Irish Wolfhound,Boston Bull,Shih Tzu,Cocker Spaniel,Boston Bull,Bloodhound,Shih Tzu,Irish Wolfhound,Bloodhound,574839845
11/12/2017 2:41,11/12/2017 2:52,IP Address,82.60.39.177,100,654,TRUE,11/12/2017 2:52,R_1GJ6UUuMenRe60P,,,,,42.22720337,14.39019775,anonymous,EN,A3FCBF2TVA1YXT,8.641,75.458,76.806,4,a lot more than half,3,2,1,4,Yes,41 or more,No,8.64,75.457,76.805,4,63.937,540.365,542.341,51,Boston Bull,Shih Tzu,Shih Tzu,Cocker Spaniel,Irish Wolfhound,Golden retriever,Golden retriever,Shih Tzu,Saluki,Shih Tzu,Yorkshire Terrier,Bloodhound,Yorkshire Terrier,Irish Wolfhound,Saluki,Yorkshire Terrier,Not A Dog,Shih Tzu,Golden retriever,Golden retriever,Irish Wolfhound,Shih Tzu,Bloodhound,Cocker Spaniel,Saluki,Boston Bull,Saluki,Cocker Spaniel,Irish Wolfhound,Golden retriever,Yorkshire Terrier,Saluki,Cocker Spaniel,Boston Bull,Not A Dog,Shih Tzu,Boston Bull,Golden retriever,Saluki,Golden retriever,Bloodhound,Saluki,Boston Bull,Shih Tzu,Bloodhound,Boston Bull,Irish Wolfhound,Shih Tzu,Irish Wolfhound,Bloodhound,797812613
11/12/2017 2:43,11/12/2017 2:54,IP Address,157.48.10.186,100,616,TRUE,11/12/2017 2:54,R_50CDVxkgpc0sCsh,,,,,17.37530518,78.47439575,anonymous,EN, A2JI7RGC80105T,13.948,113.511,115.22,4,a lot less than half,2,1,3,4,No,31 to 40,Yes,13.948,113.51,115.22,4,26.212,459.681,461.519,50,Boston Bull,Cocker Spaniel,Shih Tzu,Golden retriever,Saluki,Irish Wolfhound,Yorkshire Terrier,Golden retriever,Bloodhound,Cocker Spaniel,Shih Tzu,Golden retriever,Golden retriever,Saluki,Irish Wolfhound,Shih Tzu,Not A Dog,Shih Tzu,Yorkshire Terrier,Saluki,Golden retriever,Shih Tzu,Yorkshire Terrier,Golden retriever,Bloodhound,Shih Tzu,Irish Wolfhound,Shih Tzu,Shih Tzu,Golden retriever,Not A Dog,Irish Wolfhound,Golden retriever,Boston Bull,Not A Dog,Shih Tzu,Boston Bull,Golden retriever,Irish Wolfhound,Shih Tzu,Yorkshire Terrier,Irish Wolfhound,Boston Bull,Shih Tzu,Saluki,Boston Bull,Cocker Spaniel,Shih Tzu,Golden retriever,Bloodhound,649939349
11/12/2017 2:50,11/12/2017 2:54,IP Address,24.71.170.141,100,289,TRUE,11/12/2017 2:54,R_1QlOrAiziHsbLES,,,,,49.94970703,-119.4338989,anonymous,EN,A2XZPWQ4LY808R,1.59,35.37,37.094,5,a lot more than half,2,1,4,3,Yes,11 to 20,No,1.59,35.37,37.094,5,4.976,230.606,231.41,54,Boston Bull,Shih Tzu,Yorkshire Terrier,Cocker Spaniel,Irish Wolfhound,Golden retriever,Cocker Spaniel,Shih Tzu,Saluki,Shih Tzu,Yorkshire Terrier,Bloodhound,Shih Tzu,Irish Wolfhound,Saluki,Shih Tzu,Not A Dog,Cocker Spaniel,Golden retriever,Golden retriever,Irish Wolfhound,Yorkshire Terrier,Bloodhound,Golden retriever,Saluki,Boston Bull,Saluki,Cocker Spaniel,Irish Wolfhound,Golden retriever,Yorkshire Terrier,Saluki,Cocker Spaniel,Boston Bull,Not A Dog,Yorkshire Terrier,Boston Bull,Golden retriever,Bloodhound,Golden retriever,Bloodhound,Saluki,Boston Bull,Yorkshire Terrier,Bloodhound,Boston Bull,Irish Wolfhound,Shih Tzu,Irish Wolfhound,Bloodhound,20754129
